Batch Size,Optimizer,Learning Rate,ResNet18,ResNet50
16,Adam,0.0001,98.757143,97.742857
16,Adam,0.001,99.014286,98.314286
16,SGD,0.0001,98.478571,97.907143
16,SGD,0.001,98.95,98.55
32,Adam,0.0001,98.657143,97.021429
32,Adam,0.001,98.778571,98.535714
32,SGD,0.0001,97.914286,96.871429
32,SGD,0.001,98.821429,98.7
