,,Test Accuracy,Test Accuracy,Test Accuracy,F1 Score,F1 Score,F1 Score,Precision,Precision,Precision,Recall,Recall,Recall,Training Time (s),Training Time (s),Training Time (s)
,,mean,max,std,mean,max,std,mean,max,std,mean,max,std,mean,min,max
Dataset,Model,,,,,,,,,,,,,,,
FashionMNIST,ResNet18,88.551339,90.764286,1.327344,0.885329,0.90708,0.013165,0.887028,0.907552,0.012851,0.885513,0.907643,0.013273,147.972895,59.814627,278.839568
FashionMNIST,ResNet50,85.032366,89.4,2.934548,0.848243,0.893539,0.031336,0.852383,0.893851,0.029799,0.850324,0.894,0.029345,281.610265,106.742092,552.127002
MNIST,ResNet18,98.259821,99.014286,0.611813,0.982573,0.99015,0.006174,0.982814,0.990194,0.00574,0.982598,0.990143,0.006118,148.628926,60.006474,281.352159
MNIST,ResNet50,96.845982,98.7,1.556477,0.968394,0.986984,0.015699,0.969128,0.987025,0.014661,0.96846,0.987,0.015565,279.673539,105.760104,550.711372
